Fasta_ID_alignment,Assigned_Hg_based_on_tree,node_of_assigned_monophyletic_clade,colour_name,colour_hex_code
I11986_Mexico_Cueva_c_950_B2a1a1,B2,521,blue,#377CEF
I11987_Mexico_Cueva_c_950_B2a4a1,B2,521,blue,#377CEF
I17096_Mexico_Sonora_c_1000_B2a4a1,B2,521,blue,#377CEF
I11984_Mexico_Cueva_c_950_B2a4a1,B2,521,blue,#377CEF
I12570_Mexico_Cueva_d_1015_B2a4a1,B2,521,blue,#377CEF
I11988_Mexico_Cueva_d_1263_B2a4a1,B2,521,blue,#377CEF
USR2_Usa_UpwardSunRiver__c_c_11425_B2,B2,521,blue,#377CEF
I2560_Peru_Ullujaya_d_950_B2,B2,521,blue,#377CEF
I2717_USA_NewMexico_d_865_B2,B2,521,blue,#377CEF
I2716_USA_NewMexico_d_934_B2,B2,521,blue,#377CEF
I10859_Mexico_Campeche_c_340_B2,B2,521,blue,#377CEF
I0237_Peru_Botigiriayocc_d_860_B2,B2,521,blue,#377CEF
S0237_Peru_ChullpaBotigiriayocc__c__800_B2,B2,521,blue,#377CEF
I1396_Peru_Pacapaccari_d_590_B2,B2,521,blue,#377CEF
I15173_USA_Calveras_County_California_d_604_B2,B2,521,blue,#377CEF
I17893_Venezuela_LasLocas_d_2226_B2j,B2,521,blue,#377CEF
I17889_Venezuela_LasLocas_d_2345_B2j,B2,521,blue,#377CEF
I17890_Venezuela_LasLocas_d_2235_B2j,B2,521,blue,#377CEF
I17892_Venezuela_LasLocas_d_2337_B2j,B2,521,blue,#377CEF
I17891_Venezuela_LasLocas_d_2230_B2j,B2,521,blue,#377CEF
I2563_Peru_Campanayuq_c_650_B2,B2,521,blue,#377CEF
I2544_Peru_Charrangochayoc_c_675_B2,B2,521,blue,#377CEF
BTK166_Canada_Newfoundland__d__4664_B2c,B2,521,blue,#377CEF
BTK93_Canada_Newfoundland__d__3921_B2c,B2,521,blue,#377CEF
BTK156_Canada_Newfoundland__d__4495_B2c,B2,521,blue,#377CEF
BTK52_Canada_Newfoundland__d__4422_B2c,B2,521,blue,#377CEF
KU523305_Mexico_CuevaCandelaria__c__714_B2,B2,521,blue,#377CEF
I23709_Mexico_Sonora_d_609_B2,B2,521,blue,#377CEF
I17125_Mexico_Sonora_c_1000_B2a,B2,521,blue,#377CEF
S0976_Bolivia_Tiwanaku__c__1314_B2,B2,521,blue,#377CEF
I0976_Bolivia_Tiwanaku_c_900_B2,B2,521,blue,#377CEF
I2538_Chile_CaletaHuelen12_d_1101_B2,B2,521,blue,#377CEF
LP22.8_Chile_Pica−8__c__776_B2,B2,521,blue,#377CEF
KU523289_Chile_Pica−8__c__776_B2,B2,521,blue,#377CEF
LP22.6_Chile_Pica−8__c__776_B2,B2,521,blue,#377CEF
LIB2__Peru_HuacaPucllana__c__1264_B2b,B2,521,blue,#377CEF
I0972_Peru_HuacaPucllana_c_765_B2b,B2,521,blue,#377CEF
I1479_Peru_Palpa_d_550_B2b,B2,521,blue,#377CEF
I0969_Peru_HuacaPucllana_d_685_B2b,B2,521,blue,#377CEF
I15478_USA_SantaBarbara_California_d_4948_B2b,B2,521,blue,#377CEF
I8348_Argentina_Pampas__d_d_6875_B2b,B2,521,blue,#377CEF
LP40.1_Peru_HuacaPucllana__c__1264_B2b,B2,521,blue,#377CEF
I17896_Venezuela_LasLocas_c_2250_B2d,B2,521,blue,#377CEF
AZ33_Colombia_Aguazuque__d__2725_B2d,B2,521,blue,#377CEF
I17894_Venezuela_LasLocas_d_2263_B2d,B2,521,blue,#377CEF
I0974_Peru_HuacaPucllana_c_1500_B2,B2,521,blue,#377CEF
LP14.4_Peru_HuacaPucllana__c__1264_B2,B2,521,blue,#377CEF
KU523294_Peru_PuebloViejo__c__509_B2aa1a,B2,521,blue,#377CEF
KU523293_Peru_PuebloViejo__c__509_B2aa1a,B2,521,blue,#377CEF
KU523297_Peru_Pasamayo__c__779_B2aa1a,B2,521,blue,#377CEF
I1400_Peru_SanSebastian_d_605_B2,B2,521,blue,#377CEF
KU523292_Peru_PuebloViejo__c__509_B2aa1,B2,521,blue,#377CEF
KP300794_Peru_Lauricocha__d__8650_B2ab,B2,521,blue,#377CEF
I0041_Peru_Lauricocha_d_8505_B2,B2,521,blue,#377CEF
I17895_Venezuela_LasLocas_c_2250_B2j,B2,521,blue,#377CEF
I2715_USA_NewMexico_d_944_B2,B2,521,blue,#377CEF
AZ66_Colombia_Aguazuque__d__4030_B2,B2,521,blue,#377CEF
I10861_Mexico_Campeche_c_340_B2,B2,521,blue,#377CEF
KU523284_Peru_HuacaPucllana__c__744_B2,B2,521,blue,#377CEF
MW886103_Argentina_ElVado__d__2123_B2ak1a,B2,521,blue,#377CEF
MW886114_Argentina_Loteo5__d__555_B2ak1a,B2,521,blue,#377CEF
MW886112_Argentina_Loteo5__d__555_B2ak1a,B2,521,blue,#377CEF
MW886117_Argentina_PotreroDeGaray__d__914_B2ak1a,B2,521,blue,#377CEF
MW886123_Argentina_RoscaYaco__d__696_B2ak1a,B2,521,blue,#377CEF
MW886104_Argentina_LomaBola__d__819_B2ak,B2,521,blue,#377CEF
MW886116_Argentina_AlpaCorral__d__5069_B2ak1,B2,521,blue,#377CEF
I17114_Mexico_Sonora_c_1000_B2a,B2,521,blue,#377CEF
LP20.5_Peru_HuacaPucllana__c__1264_B2,B2,521,blue,#377CEF
I1356_Peru_Laramate_d_600_B2,B2,521,blue,#377CEF
I1484_Peru_Botigiriayocc_d_780_B2,B2,521,blue,#377CEF
AZ75_Colombia_Aguazuque__d__4575_B2,B2,521,blue,#377CEF
S0979_Bolivia_Tiwanaku__c__1314_B2,B2,521,blue,#377CEF
I14009_Chile_Precordillera_d_750_B2,B2,521,blue,#377CEF
S0978_Bolivia_Tiwanaku__c__1314_B2,B2,521,blue,#377CEF
I0978_Bolivia_Tiwanaku_d_865_B2,B2,521,blue,#377CEF
I0979_Bolivia_Tiwanaku_c_1125_B2,B2,521,blue,#377CEF
VIS3_Colombia_VistaHermosa__d__3272.5_B2,B2,521,blue,#377CEF
S0179_Peru_LaGalgada__c__4000_B2,B2,521,blue,#377CEF
I2268_Peru_ElBrujo_d_4150_B2,B2,521,blue,#377CEF
S0284_Peru_Jauranga__c__1650_B2,B2,521,blue,#377CEF
S0287_Peru_LosMolinos__c__1900_B2,B2,521,blue,#377CEF
KU523304_Mexico_CuevaCandelaria__c__714_B2,B2,521,blue,#377CEF
